date,amount,channelUID,txCurrency,accountType,txType,customerId
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,11
3/20/2017,75,DESKTOP,SEK,2466,DEPOSIT,20
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,13
3/20/2017,25,DESKTOP,SEK,2466,DEPOSIT,13
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,35
3/20/2017,25,DESKTOP,SEK,2466,DEPOSIT,17
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,44
3/20/2017,25,DESKTOP,SEK,2466,DEPOSIT,49
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,6
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,39
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,27
3/20/2017,125,DESKTOP,SEK,2466,DEPOSIT,2
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,9
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,13
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,34
3/20/2017,25,DESKTOP,SEK,2466,DEPOSIT,10
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,49
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,45
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,45
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,48
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,37
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,9
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,23
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,48
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,15
3/20/2017,2125,DESKTOP,SEK,2466,DEPOSIT,27
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,30
3/20/2017,5,DESKTOP,SEK,2466,DEPOSIT,46
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,38
3/20/2017,5,DESKTOP,SEK,2466,DEPOSIT,18
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,36
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,31
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,9
3/20/2017,5,DESKTOP,SEK,2466,DEPOSIT,36
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,19
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,21
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,41
3/20/2017,50,DESKTOP,SEK,2466,DEPOSIT,42
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,8
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,44
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,28
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,18
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,21
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,47
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,3
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,20
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,20
3/20/2017,10,DESKTOP,SEK,2466,DEPOSIT,33
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,1
3/20/2017,5,DESKTOP,SEK,2466,DEPOSIT,29
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,7
3/20/2017,10,DESKTOP,SEK,2466,DEPOSIT,15
3/20/2017,0,DESKTOP,SEK,2466,WITHDRAWAL,30
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,7
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,11
3/20/2017,20,DESKTOP,SEK,2466,DEPOSIT,17
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,15
3/20/2017,75,DESKTOP,SEK,2466,DEPOSIT,5
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,37
3/20/2017,5,DESKTOP,SEK,2466,DEPOSIT,44
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,44
3/20/2017,25,DESKTOP,SEK,2466,DEPOSIT,32
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,33
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,18
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,1
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,25
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,11
3/20/2017,10,DESKTOP,SEK,2466,DEPOSIT,44
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,33
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,42
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,26
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,9
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,13
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,25
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,49
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,18
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,35
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,17
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,40
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,18
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,22
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,32
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,15
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,46
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,43
3/20/2017,0,DESKTOP,SEK,2466,DEPOSIT,27
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,5
3/20/2017,5,DESKTOP,SEK,2466,DEPOSIT,43
3/20/2017,10,DESKTOP,SEK,2466,WITHDRAWAL,4
